family,policy,sources,parents,episodes,mase,mae,total_seconds,tool_count,budget_overruns,switch_gain,wrong_switch_loss,net_gain
timesfm,KEEP,3,26,156,1.1398373923217893,3.0215744818144707,0.20070330991472027,0.0,0,0.03241812482332023,0.07612017898024871,-0.04370205415692849
timesfm,R2_EXISTING_CART,3,26,156,1.0690863439543559,2.7680418891065535,1.072156038592083,2.0,0,0.040643002884803096,0.013594008674298176,0.027048994210504915
timesfm,R3_AGENT_high,3,26,156,1.1026689892850436,2.8814313405573375,0.6009389575738308,0.4444444444444445,0,0.029397259928135067,0.03593091104831764,-0.0065336511201825745
timesfm,R3_AGENT_low,3,26,156,1.0961353381648609,2.878695537127317,0.2329466028146968,0.0,0,0.0,0.0,0.0
timesfm,R3_FIXED_TOOL_high,3,26,156,1.0960193267640117,2.8873402289960537,0.5923919133823673,0.4444444444444445,0,0.01322046798888831,0.01310445658803902,0.00011601140084928757
timesfm,R3_FIXED_TOOL_low,3,26,156,1.0961353381648609,2.878695537127317,0.2329256661248619,0.0,0,0.0,0.0,0.0
timesfm,R3_RANDOM_high,3,26,156,1.0919773816415275,2.868069776107052,0.5300074032614618,0.3672438672438673,0,0.01397165057700434,0.009813694053670908,0.004157956523333431
timesfm,R3_RANDOM_low,3,26,156,1.0961353381648609,2.878695537127317,0.23293773674430565,0.0,0,0.0,0.0,0.0
timesfm,RESIDUAL_H32_high,3,26,156,1.1026689892850436,2.8814313405573375,0.5974554670135485,0.4444444444444445,0,0.029397259928135067,0.03593091104831764,-0.0065336511201825745
timesfm,RESIDUAL_H32_low,3,26,156,1.0961353381648609,2.878695537127317,0.23055778148332592,0.0,0,0.0,0.0,0.0
timesfm,RESIDUAL_H_high,3,26,156,1.0858111552151404,2.8390907891472428,0.5885172392869534,0.4444444444444445,0,0.027395448932225137,0.01707126598250466,0.010324182949720486
timesfm,RESIDUAL_H_low,3,26,156,1.0961353381648609,2.878695537127317,0.23054891578943407,0.0,0,0.0,0.0,0.0
timesfm,RESIDUAL_control_high,3,26,156,1.0960193267640117,2.8873402289960537,0.5894485183852683,0.4444444444444445,0,0.01322046798888831,0.01310445658803902,0.00011601140084928757
timesfm,RESIDUAL_control_low,3,26,156,1.0961353381648609,2.878695537127317,0.23054923441032896,0.0,0,0.0,0.0,0.0
timesfm,RESIDUAL_disagreement_high,3,26,156,1.09259885898396,2.8658208572965926,0.5891453402988515,0.4444444444444445,0,0.018162962322584568,0.014626483141683378,0.0035364791809011885
timesfm,RESIDUAL_disagreement_low,3,26,156,1.0961353381648609,2.878695537127317,0.23055035544784455,0.0,0,0.0,0.0,0.0
timesfm,RESIDUAL_equal-cost_high,3,26,156,1.0914478695232386,2.862924899713238,0.5885118691557358,0.4444444444444445,0,0.018697556085228578,0.014010087443606123,0.004687468641622458
timesfm,RESIDUAL_equal-cost_low,3,26,156,1.0961353381648609,2.878695537127317,0.2305504357593693,0.0,0,0.0,0.0,0.0
timesfm,TATO_8_NATIVE_SPACE,3,26,156,1.5290020612088508,4.546267173908446,1.0239894668414238,8.0,0,0.02633011174979608,0.4591968347937858,-0.43286672304398977
