key,family
SEV10-R2-MSE,appendix_severity_table
SEV10-R2-RANK,appendix_severity_table
SEV10-R2-RMSE,appendix_severity_table
SEV10-T1-MAE,appendix_severity_table
SEV10-T1-MASE,appendix_severity_table
SEV10-T1-MSE,appendix_severity_table
SEV10-T1-RANK,appendix_severity_table
SEV10-T1-RMSE,appendix_severity_table
SEV10-TATO-MAE,appendix_severity_table
SEV10-TATO-MASE,appendix_severity_table
SEV10-TATO-MSE,appendix_severity_table
SEV10-TATO-RANK,appendix_severity_table
SEV10-TATO-RMSE,appendix_severity_table
SEV10-TOI-MAE,appendix_severity_table
SEV10-TOI-MASE,appendix_severity_table
SEV10-TOI-MSE,appendix_severity_table
SEV10-TOI-RANK,appendix_severity_table
SEV10-TOI-RMSE,appendix_severity_table
SEV30-BF-MAE,appendix_severity_table
SEV30-BF-MASE,appendix_severity_table
SEV30-BF-MSE,appendix_severity_table
SEV30-BF-RANK,appendix_severity_table
SEV30-BF-RMSE,appendix_severity_table
SEV30-KEEP-MAE,appendix_severity_table
SEV30-KEEP-MASE,appendix_severity_table
SEV30-KEEP-MSE,appendix_severity_table
SEV30-KEEP-RANK,appendix_severity_table
SEV30-KEEP-RMSE,appendix_severity_table
SEV30-OURS-MAE,appendix_severity_table
SEV30-OURS-MASE,appendix_severity_table
SEV30-OURS-MSE,appendix_severity_table
SEV30-OURS-RANK,appendix_severity_table
SEV30-OURS-RMSE,appendix_severity_table
SEV30-R2-MAE,appendix_severity_table
SEV30-R2-MASE,appendix_severity_table
SEV30-R2-MSE,appendix_severity_table
SEV30-R2-RANK,appendix_severity_table
SEV30-R2-RMSE,appendix_severity_table
SEV30-T1-MAE,appendix_severity_table
SEV30-T1-MASE,appendix_severity_table
SEV30-T1-MSE,appendix_severity_table
SEV30-T1-RANK,appendix_severity_table
SEV30-T1-RMSE,appendix_severity_table
SEV30-TATO-MAE,appendix_severity_table
SEV30-TATO-MASE,appendix_severity_table
SEV30-TATO-MSE,appendix_severity_table
SEV30-TATO-RANK,appendix_severity_table
SEV30-TATO-RMSE,appendix_severity_table
SEV30-TOI-MAE,appendix_severity_table
SEV30-TOI-MASE,appendix_severity_table
SEV30-TOI-MSE,appendix_severity_table
SEV30-TOI-RANK,appendix_severity_table
SEV30-TOI-RMSE,appendix_severity_table
SEV50-BF-MAE,appendix_severity_table
SEV50-BF-MASE,appendix_severity_table
SEV50-BF-MSE,appendix_severity_table
SEV50-BF-RANK,appendix_severity_table
SEV50-BF-RMSE,appendix_severity_table
SEV50-KEEP-MAE,appendix_severity_table
SEV50-KEEP-MASE,appendix_severity_table
SEV50-KEEP-MSE,appendix_severity_table
SEV50-KEEP-RANK,appendix_severity_table
SEV50-KEEP-RMSE,appendix_severity_table
SEV50-OURS-MAE,appendix_severity_table
SEV50-OURS-MASE,appendix_severity_table
SEV50-OURS-MSE,appendix_severity_table
SEV50-OURS-RANK,appendix_severity_table
SEV50-OURS-RMSE,appendix_severity_table
SEV50-R2-MAE,appendix_severity_table
SEV50-R2-MASE,appendix_severity_table
SEV50-R2-MSE,appendix_severity_table
SEV50-R2-RANK,appendix_severity_table
SEV50-R2-RMSE,appendix_severity_table
SEV50-T1-MAE,appendix_severity_table
SEV50-T1-MASE,appendix_severity_table
SEV50-T1-MSE,appendix_severity_table
SEV50-T1-RANK,appendix_severity_table
SEV50-T1-RMSE,appendix_severity_table
SEV50-TATO-MAE,appendix_severity_table
SEV50-TATO-MASE,appendix_severity_table
SEV50-TATO-MSE,appendix_severity_table
SEV50-TATO-RANK,appendix_severity_table
SEV50-TATO-RMSE,appendix_severity_table
SEV50-TOI-MAE,appendix_severity_table
SEV50-TOI-MASE,appendix_severity_table
SEV50-TOI-MSE,appendix_severity_table
SEV50-TOI-RANK,appendix_severity_table
SEV50-TOI-RMSE,appendix_severity_table
KEY,doc_comment
ABSTRACT_CLOSING,narrative_sentence
COLDSTART,narrative_sentence
CONCLUSION_CLOSING,narrative_sentence
CONCL_HARM,narrative_sentence
CONCL_MAIN,narrative_sentence
CONCL_TRANSFER,narrative_sentence
FAILRATE,narrative_sentence
MAIN_BACKBONE,narrative_sentence
MAIN_BASELINE_SPREAD,narrative_sentence
MAIN_DELTA_CI,narrative_sentence
MAIN_FIXED_ORACLE_GAP,narrative_sentence
MAIN_HET_GAP,narrative_sentence
MAIN_HET_SHARES,narrative_sentence
MAIN_INTERVENTION_RATE,narrative_sentence
MAIN_OVERALL_MASE,narrative_sentence
MAIN_R2CART,narrative_sentence
MAIN_RANK,narrative_sentence
MAIN_READING,narrative_sentence
N_BOOTSTRAP,narrative_sentence
N_DATASETS,narrative_sentence
RANK_DISAGREE_STATS,narrative_sentence
STRONG_BASELINE,narrative_sentence
SRC_BOLT_BF_192_ELEC,table1_per_source_cell
SRC_BOLT_BF_192_ETTH1,table1_per_source_cell
